"data","tabela","n_linhas_antes","n_linhas_depois","n_colunas_antes","n_colunas_depois","n_chaves_antes","n_chaves_depois","n_municipios_antes","n_municipios_depois","colunas_removidas","motivo"
"2026-07-26 15:25:22","03_meio_ambiente",183810,183810,77,77,183810,183810,5570,5570,"variacao_absoluta_area_desmatada_km2","renomeacao autorizada (achados 7, 8, 48, 102): variacao_absoluta_area_desmatada_km2 -> variacao_area_desmatada_pct. Nenhuma linha, nenhum valor e nenhuma coluna removidos — so os nomes mudaram, e cada um esta em dicionario/deprecacao.csv."
"2026-07-26 15:25:29","04_economia",127786,127786,19,19,127786,127786,5570,5570,"razao_impostos_sobre_pib_prop ln_pib_brl2023 ln_pib_per_capita_brl2023 ln_valor_adicionado_bruto_brl2023","renomeacao autorizada (achados 7, 8, 48, 102): ln_pib_brl2023 -> log10_pib_idx; ln_pib_per_capita_brl2023 -> log10_pib_per_capita_idx; ln_valor_adicionado_bruto_brl2023 -> log10_valor_adicionado_bruto_idx; razao_impostos_sobre_pib_prop -> impostos_sobre_pib_prop. Nenhuma linha, nenhum valor e nenhuma coluna removidos — so os nomes mudaram, e cada um esta em dicionario/deprecacao.csv."
"2026-07-26 15:25:33","10_saude",149144,149144,65,65,149144,149144,5570,5570,"ieps_despesa_saude_total_per_capita_brl2023 ieps_despesa_saude_recursos_proprios_per_capita_brl2023 gasto_bolsa_familia_per_capita_brl2023","renomeacao autorizada (achados 7, 8, 48, 102): ieps_despesa_saude_total_per_capita_brl2023 -> ieps_despesa_saude_total_per_capita_brl2021; ieps_despesa_saude_recursos_proprios_per_capita_brl2023 -> ieps_despesa_saude_recursos_proprios_per_capita_brl2021; gasto_bolsa_familia_per_capita_brl2023 -> gasto_bolsa_familia_per_capita_brl2021. Nenhuma linha, nenhum valor e nenhuma coluna removidos — so os nomes mudaram, e cada um esta em dicionario/deprecacao.csv."
"2026-07-26 15:25:38","16_eleicoes",133496,133496,36,36,133496,133496,5568,5568,"proporcao_votos_brancos_prefeito_pct proporcao_votos_nulos_prefeito_pct nome_urna_prefeito_eleito sigla_partido_prefeito_eleito sigla_partido_governador_segundo_colocado nome_urna_governador_eleito nome_urna_governador_segundo_lugar","renomeacao autorizada (achados 7, 8, 48, 102): proporcao_votos_brancos_prefeito_pct -> tse_votos_brancos_prefeito_pct; proporcao_votos_nulos_prefeito_pct -> tse_votos_nulos_prefeito_pct; sigla_partido_prefeito_eleito -> sigla_partido_prefeito_eleito_cat; sigla_partido_governador_segundo_colocado -> sigla_partido_governador_segundo_colocado_cat; nome_urna_prefeito_eleito -> nome_urna_prefeito_eleito_cat; nome_urna_governador_eleito -> nome_urna_governador_eleito_cat; nome_urna_governador_segundo_lugar -> nome_urna_governador_segundo_lugar_cat. Nenhuma linha, nenhum valor e nenhuma coluna removidos — so os nomes mudaram, e cada um esta em dicionario/deprecacao.csv."
